sample_date,kd
2022-05-25,0.9364945294023269
2022-05-31,0.8261253828048645
2022-06-01,0.6172757329396263
2022-06-02,0.754705681222941
2022-06-07,0.8843935151634021
2022-06-08,0.6311127716911845
2022-06-09,0.7904933168870707
2022-06-21,0.7880839694499149
2022-06-22,0.7472256570691769
2022-06-23,1.2089560450292494
2022-06-28,1.3077819571123506
2022-06-29,1.016058484673371
2022-07-05,0.9989168830987876
2022-07-06,0.8480627049156734
2022-07-07,1.003076437608575
2022-07-11,1.8176797927477681
2022-07-12,1.3868589685880768
2022-07-13,1.2463024468700978
2022-07-14,1.3518878681352753
2022-07-18,1.0213526185763777
2022-07-19,1.0363711032733292
2022-07-20,1.4853870518144818
2022-07-21,1.4298527216908363
2022-08-01,0.8711664722825452
2022-08-02,0.6402218344922445
2022-08-04,1.2147368061591466
2022-08-08,0.830562040527653
2022-08-09,1.2331806771982896
2022-08-10,1.0558158860789715
2022-08-11,1.251698235448879
2022-08-15,1.1264260887336508
2022-08-16,0.9093779045682073
2022-08-17,1.0307909597882614
2022-09-09,0.7255484388589966
