sample_date,depth_m,temp_c,do_percent,do_mg_l,conductivity_us_cm,salinity,ph
2022-05-25,surface,20.5,73.1,6.19,15289,9.87,8.1
2022-05-25,bottom,19.6,62.8,5.4,16125,10.63,8.05
2022-05-31,surface,26.4,90.8,6.94,14763,8.31,8.52
2022-05-31,bottom,23.7,73.2,5.88,15244,9.12,8.51
2022-06-01,surface,27.9,121.8,8.96,14469,7.88,8.2
2022-06-01,bottom,22.7,70.1,5.61,15443,9.47,8.06
2022-06-02,surface,28.4,118,8.7,15579,8.46,8.12
2022-06-02,bottom,20.1,62,5.53,17000,11.14,7.58
2022-06-07,surface,24.4,103.5,8.08,17823,10.63,7.98
2022-06-07,bottom,23.8,93.6,7.42,17706,10.72,8
2022-06-08,surface,26.5,99.8,7.64,18144,10.41,7.97
2022-06-08,bottom,24.7,90.4,7.1,17947,10.67,8.07
2022-06-09,surface,26.6,98.8,7.39,18182,10.37,8.07
2022-06-09,bottom,26,99.5,7.62,18004,10.4,8.16
2022-06-14,surface,28.1,84.3,6.18,18834,10.45,8.16
2022-06-14,bottom,24.7,54.3,4.2,18654,11.12,7.84
2022-06-15,surface,28.8,83.3,6.04,19034,10.38,8.14
2022-06-15,bottom,24.9,52.6,4.08,19399,11.58,7.92
2022-06-21,surface,24.8,NA,NA,20245,12.16,8.22
2022-06-21,bottom,23.2,NA,NA,21816,13.62,7.76
2022-06-22,surface,25.1,NA,NA,20851,12.48,8.14
2022-06-22,bottom,23.9,NA,NA,20992,12.87,7.97
2022-06-22,surface,23.7,58.6,4.62,20647,12.7,7.82
2022-06-22,bottom,23.6,58.8,4.58,21131,13.05,7.62
2022-06-27,surface,26.3,85.8,6.35,21815,12.74,7.96
2022-06-27,bottom,26,78.6,5.84,21726,12.75,8.13
2022-06-28,surface,25.5,77.8,5.86,18748,11.03,7.88
2022-06-28,bottom,25.6,70.2,5.26,20203,11.88,8.08
2022-06-29,surface,26.2,85.1,6.44,20596,12,8.22
2022-06-29,bottom,25.6,38.6,2.94,21800,12.9,8.82
2022-07-05,surface,28.1,76.4,5.46,22268,12.54,8.16
2022-07-05,bottom,27.4,58.6,4.3,22482,12.86,8.1
2022-07-06,surface,29.1,89.5,6.47,22826,12.61,8.24
2022-07-06,bottom,28.3,82.8,6.02,22580,12.67,8.19
2022-07-07,surface,28.8,88.4,6.35,22559,12.54,8.2
2022-07-07,bottom,28.7,84.7,6.12,22554,12.56,8.16
2022-07-11,surface,25.9,98.4,7.49,19907,11.63,8.26
2022-07-11,bottom,26.4,65.2,4.79,22417,13.09,7.96
2022-07-12,surface,27,88.3,6.59,21185,12.13,8.27
2022-07-12,bottom,26.6,74.6,5.68,21590,12.5,8.16
2022-07-13,surface,28.2,81.8,6,20918,11.69,8.14
2022-07-13,bottom,27.2,76.2,5.73,21598,12.23,8.16
2022-07-14,surface,28.8,78.9,5.67,21375,11.81,8.14
2022-07-14,bottom,28.2,72.7,5.34,21854,12.22,8.04
2022-07-18,surface,29.3,78.4,5.63,22480,12.37,8.2
2022-07-18,bottom,28.9,86.8,6.17,22570,12.52,8.19
2022-07-19,surface,29.7,82.7,5.88,22262,12.14,8.29
2022-07-19,bottom,29.4,87.2,6.24,22456,12.31,8.32
2022-07-20,surface,30.7,89.1,6.29,20246,10.71,8.35
2022-07-20,bottom,28.4,45.8,3.3,23034,12.92,7.96
2022-07-21,surface,30.5,83.6,5.85,22291,11.94,8.41
2022-07-21,bottom,29.8,73.8,5.24,22913,12.5,8.28
2022-07-25,surface,30.9,75.9,5.15,22972,12.26,8.46
2022-07-25,bottom,30.4,75.4,5.09,23443,12.65,8.43
2022-07-26,surface,28.9,76.5,5.68,12042,6.38,7.82
2022-07-26,bottom,30,68.4,4.64,22930,12.45,8.26
2022-07-28,surface,32.7,106.2,7.37,14605,7.23,8.72
2022-07-28,bottom,29.6,32,2.29,22596,12.39,7.94
2022-08-01,surface,30.3,80.4,5.7,20613,11.02,8.46
2022-08-01,bottom,29,43.5,3.11,23558,13.02,7.97
2022-08-02,surface,30.8,84.2,5.94,21018,11.15,8.54
2022-08-02,bottom,29,52.5,3.76,23396,12.99,8.11
2022-08-04,surface,30.4,80.4,5.66,21128,11.28,8.4
2022-08-04,bottom,29,16.2,1.17,24185,13.48,7.68
2022-08-08,surface,31.1,81.4,5.61,23659,12.61,8.46
2022-08-08,bottom,30.7,80.2,5.59,23607,12.68,8.36
2022-08-09,surface,30.7,53.6,3.65,23613,12.68,8.42
2022-08-09,bottom,30.3,65.5,4.36,23682,12.8,8.25
2022-08-10,surface,31.9,68.2,4.65,23261,12.16,8.54
2022-08-10,bottom,30.1,43.7,3.06,24005,13.07,7.98
2022-08-11,surface,30.4,127,8.67,22950,12.36,8.41
2022-08-11,bottom,29.8,18.5,1.32,24915,13.6,7.36
2022-08-15,surface,28.6,88,6.28,26244,14.84,7.82
2022-08-15,bottom,28,26,1.85,27609,15.88,7.34
2022-08-16,surface,28.2,74.2,5.31,26290,14.99,7.57
2022-08-16,bottom,27.2,25.4,1.82,27479,15.87,7.34
2022-08-17,surface,27.3,67.8,4.95,26083,15.16,7.64
2022-08-17,bottom,27.1,58.5,4.25,26281,15.35,7.63
2202-09-09,surface,26.1,73.5,5.3,28970,17.43,7.62
2202-09-09,bottom,26.1,61.9,4.64,29516,17.81,7.68
